paper_ID,country,area,taxa,common_name,scientific_name,trophic_level,food_type,environment,tissue,data,BPA,unit,DL,censored,BPA_zero,estimated_BPA,estimated_BPA_2,sample_size,citation,link
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,muscle,mean,0.34,ng g,0.09,FALSE,0.34,0.34,0.34,21,Zhou et al (2019),https://www.sciencedirect.com/science/article/pii/S0269749118322772
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,muscle,min,0,ng g,0.09,FALSE,0,0,0,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,muscle,max,3.51,ng g,0.09,FALSE,3.51,3.51,3.51,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,liver,mean,4.74,ng g,0.03,FALSE,4.74,4.74,4.74,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,liver,min,0,ng g,0.03,FALSE,0,0,0,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,liver,max,48.4,ng g,0.03,FALSE,48.4,48.4,48.4,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,gills,mean,9.8,ng g,0.23,FALSE,9.8,9.8,9.8,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,gills,min,0,ng g,0.23,FALSE,0,0,0,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,gills,max,48.3,ng g,0.23,FALSE,48.3,48.3,48.3,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,gonad,mean,13,ng g,0.12,FALSE,13,13,13,21,Zhou et al (2019),
