first_author,effect_size_ID,study_ID,year_published,citation,journal,domain,taxa,common_name,scientific_name,scientific_name_OTL,development_stage,sex,includes_body_size,body_size,size unit,pop_source,temperature,BPA,BPA_unit,corrected_dose,time,time_day,trait,hierarchy,response,response_unit,mean_control,sd_control,se_control,n_control,mean_treat,sd_treat,se_treat,n_treat,mean_c_1,mean_t_1,lnRR,lnRR_direct,lnRR_variance,notes,Link
Little,1,1,2015,Little & Seebacher (2015),Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,20,ug l,20,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,128.7758,27.44201,6.860502,8,134.874,18.29467,6.468143,8,129.7758,135.874,0.045919639,0.045919639,1.033260172,acclimated to 18 degrees,https://www.sciencedirect.com/science/article/pii/S0269749114005004
Little,2,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,500,ug l,500,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,128.7758,27.44201,6.860502,8,150.1196,21.34378,7.546167,8,129.7758,151.1196,0.15226323,0.15226323,1.102169084,acclimated to 18 degrees,
Little,3,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,20,ug l,20,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,198.9054,30.49112,10.780239,8,208.0527,24.3929,8.624191,8,199.9054,209.0527,0.044742119,0.044742119,0.937122374,acclimated to 18 degrees,
Little,4,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,500,ug l,500,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,198.9054,30.49112,10.780239,8,186.709,36.58934,12.936287,8,199.9054,187.709,-0.062951363,-0.062951363,1.472868838,acclimated to 18 degrees,
Little,5,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,20,ug l,20,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,162.3161,33.54023,11.858263,8,119.6285,30.49112,10.780239,8,163.3161,120.6285,-0.302972012,-0.302972012,1.824420134,acclimated to 28 degrees,
Little,6,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,500,ug l,500,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,162.3161,33.54023,11.858263,8,162.3161,45.73668,16.170358,8,163.3161,163.3161,0,0,2.462089566,acclimated to 28 degrees,
Little,7,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,20,ug l,20,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,183.6598,45.73668,16.170358,8,208.0527,24.3929,8.624191,8,184.6598,209.0527,0.12407116,0.12407116,1.771791619,acclimated to 28 degrees,
Little,8,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,500,ug l,500,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,183.6598,45.73668,16.170358,8,195.8563,33.54023,11.858263,8,184.6598,196.8563,0.063958808,0.063958808,2.130331901,acclimated to 28 degrees,
Little,9,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,20,ug l,20,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,250,23.80952,8.417938,8,223.8095,20.2381,7.155247,8,251,224.8095,-0.110199562,-0.110199562,0.510054998,acclimated to 18 degrees,active HR
Little,10,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,500,ug l,500,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,250,23.80952,8.417938,8,227.381,20.2381,7.155247,8,251,228.381,-0.094437652,-0.094437652,0.506493559,acclimated to 18 degrees,active HR
